PhraseId,SentenceId,Phrase,Sentiment,Phrase(origin),Sentiment(predict),Difference(Phrase),Difference(Sentence)
29267,1355,Perhaps the grossest movie,0,Perhaps the grossest movie,2,2,2.2
29266,1355,Perhaps the grossest movie ever made .,0,Perhaps the grossest movie ever made .,3,3,2.2
29270,1355,grossest,1,grossest,2,1,2.2
73311,3745,This one aims for the toilet and scores a direct hit .,0,This one aims for the toilet and scores a direct hit .,3,3,2.1666666666666665
73312,3745,aims for the toilet and scores a direct hit .,1,aims for the toilet and scores a direct hit .,3,2,2.1666666666666665
107009,5650,"is first-rate , especially Sorvino",4,"is first-rate , especially Sorvino",1,3,2.1666666666666665
73316,3745,the toilet and,2,the toilet and,2,0,2.1666666666666665
73313,3745,aims for the toilet and scores a direct hit,0,aims for the toilet and scores a direct hit,3,3,2.1666666666666665
73314,3745,for the toilet and scores a direct hit,0,for the toilet and scores a direct hit,3,3,2.1666666666666665
107011,5650,", especially Sorvino",2,", especially Sorvino",3,1,2.1666666666666665
73315,3745,the toilet and scores a direct hit,1,the toilet and scores a direct hit,3,2,2.1666666666666665
107012,5650,especially Sorvino,2,especially Sorvino,3,1,2.1666666666666665
107008,5650,"is first-rate , especially Sorvino .",3,"is first-rate , especially Sorvino .",1,2,2.1666666666666665
107007,5650,"The entire cast is first-rate , especially Sorvino .",4,"The entire cast is first-rate , especially Sorvino .",1,3,2.1666666666666665
107010,5650,"first-rate , especially Sorvino",4,"first-rate , especially Sorvino",1,3,2.1666666666666665
5100,199,a superior horror flick,3,a superior horror flick,1,2,2.142857142857143
5097,199,This is a superior horror flick .,4,This is a superior horror flick .,1,3,2.142857142857143
5098,199,is a superior horror flick .,4,is a superior horror flick .,1,3,2.142857142857143
5099,199,is a superior horror flick,4,is a superior horror flick,1,3,2.142857142857143
5103,199,horror flick,2,horror flick,2,0,2.142857142857143
5101,199,superior horror flick,4,superior horror flick,1,3,2.142857142857143
5102,199,superior,3,superior,4,1,2.142857142857143
82697,4270,This is one of the biggest disappointments of the year .,0,This is one of the biggest disappointments of the year .,4,4,2.125
82698,4270,is one of the biggest disappointments of the year .,0,is one of the biggest disappointments of the year .,4,4,2.125
82699,4270,is one of the biggest disappointments of the year,0,is one of the biggest disappointments of the year,4,4,2.125
82704,4270,biggest disappointments,0,biggest disappointments,0,0,2.125
82700,4270,one of the biggest disappointments of the year,1,one of the biggest disappointments of the year,4,3,2.125
82703,4270,the biggest disappointments,1,the biggest disappointments,0,1,2.125
82702,4270,the biggest disappointments of the year,1,the biggest disappointments of the year,0,1,2.125
82701,4270,of the biggest disappointments of the year,0,of the biggest disappointments of the year,0,0,2.125
152761,8336,it 's the perfect cure for insomnia .,1,it 's the perfect cure for insomnia .,3,2,2.0
109671,5811,Less than fresh,0,Less than fresh,3,3,2.0
152763,8336,'s the perfect cure for insomnia,1,'s the perfect cure for insomnia,3,2,2.0
152762,8336,'s the perfect cure for insomnia .,0,'s the perfect cure for insomnia .,3,3,2.0
39922,1908,"no charm , no laughs , no fun",0,"no charm , no laughs , no fun",3,3,2.0
39927,1908,no laughs,1,no laughs,3,2,2.0
39926,1908,no charm,1,no charm,3,2,2.0
39925,1908,"no charm ,",1,"no charm ,",3,2,2.0
80680,4155,well-crafted letdown .,1,well-crafted letdown .,0,1,2.0
80679,4155,A well-crafted letdown .,1,A well-crafted letdown .,4,3,2.0
18422,807,Execrable,0,Execrable,2,2,2.0
18421,807,Execrable .,0,Execrable .,2,2,2.0
109672,5811,than fresh,2,than fresh,3,1,2.0
39924,1908,"no charm , no laughs",0,"no charm , no laughs",3,3,2.0
39918,1908,"... no charm , no laughs , no fun , no reason to watch .",0,"... no charm , no laughs , no fun , no reason to watch .",0,0,2.0
39919,1908,"no charm , no laughs , no fun , no reason to watch .",0,"no charm , no laughs , no fun , no reason to watch .",3,3,2.0
39920,1908,"no charm , no laughs , no fun , no reason to watch",1,"no charm , no laughs , no fun , no reason to watch",3,2,2.0
109670,5811,Less than fresh .,1,Less than fresh .,3,2,2.0
39921,1908,"no charm , no laughs , no fun ,",0,"no charm , no laughs , no fun ,",3,3,2.0
152767,8336,for insomnia,3,for insomnia,2,1,2.0
152758,8336,"When it comes out on video , then it 's the perfect cure for insomnia .",0,"When it comes out on video , then it 's the perfect cure for insomnia .",3,3,2.0
39929,1908,no reason to watch,0,no reason to watch,1,1,2.0
39930,1908,reason to watch,2,reason to watch,2,0,2.0
152764,8336,the perfect cure for insomnia,0,the perfect cure for insomnia,3,3,2.0
152765,8336,the perfect cure,3,the perfect cure,3,0,2.0
152766,8336,perfect cure,2,perfect cure,3,1,2.0
39923,1908,"no charm , no laughs ,",0,"no charm , no laughs ,",3,3,2.0
39928,1908,no fun,1,no fun,3,2,2.0
44596,2160,may be disappointed,2,may be disappointed,4,2,2.0
44595,2160,may be disappointed .,1,may be disappointed .,4,3,2.0
44594,2160,Naipaul fans,2,Naipaul fans,2,0,2.0
44593,2160,Naipaul fans may be disappointed .,1,Naipaul fans may be disappointed .,4,3,2.0
152760,8336,then it 's the perfect cure for insomnia .,0,then it 's the perfect cure for insomnia .,3,3,2.0
152759,8336,", then it 's the perfect cure for insomnia .",1,", then it 's the perfect cure for insomnia .",3,2,2.0
85685,4431,all the scenic appeal,2,all the scenic appeal,3,1,1.8888888888888888
85686,4431,the scenic appeal,2,the scenic appeal,3,1,1.8888888888888888
85684,4431,all the scenic appeal of a cesspool,0,all the scenic appeal of a cesspool,3,3,1.8888888888888888
85683,4431,Has all the scenic appeal of a cesspool,0,Has all the scenic appeal of a cesspool,3,3,1.8888888888888888
85687,4431,scenic appeal,2,scenic appeal,3,1,1.8888888888888888
85690,4431,cesspool,0,cesspool,2,2,1.8888888888888888
85689,4431,a cesspool,1,a cesspool,2,1,1.8888888888888888
85688,4431,of a cesspool,0,of a cesspool,2,2,1.8888888888888888
85682,4431,Has all the scenic appeal of a cesspool .,0,Has all the scenic appeal of a cesspool .,3,3,1.8888888888888888
102614,5403,has not spawned a single good film .,0,has not spawned a single good film .,4,4,1.875
102615,5403,has not spawned a single good film,1,has not spawned a single good film,4,3,1.875
102612,5403,This franchise has not spawned a single good film .,0,This franchise has not spawned a single good film .,4,4,1.875
95770,5002,enjoy the movie,4,enjoy the movie,3,1,1.875
102618,5403,a single good film,3,a single good film,4,1,1.875
102617,5403,spawned,2,spawned,2,0,1.875
102616,5403,spawned a single good film,2,spawned a single good film,4,2,1.875
102613,5403,This franchise,2,This franchise,2,0,1.875
95765,5002,", they wo not enjoy the movie at all .",0,", they wo n't enjoy the movie at all .",3,3,1.875
95766,5002,they wo not enjoy the movie at all .,0,they wo n't enjoy the movie at all .,3,3,1.875
95767,5002,wo not enjoy the movie at all .,1,wo n't enjoy the movie at all .,3,2,1.875
95764,5002,As for children,2,As for children,2,0,1.875
95769,5002,enjoy the movie at all,2,enjoy the movie at all,3,1,1.875
95768,5002,wo not enjoy the movie at all,0,wo n't enjoy the movie at all,3,3,1.875
102619,5403,single good film,3,single good film,4,1,1.875
95763,5002,"As for children , they wo not enjoy the movie at all .",1,"As for children , they wo n't enjoy the movie at all .",3,2,1.875
95771,5003,It 's no lie -- Big Fat Liar is a real charmer .,4,It 's no lie -- Big Fat Liar is a real charmer .,1,3,1.8571428571428572
95772,5003,It 's no lie -- Big Fat Liar is a real charmer,4,It 's no lie -- Big Fat Liar is a real charmer,1,3,1.8571428571428572
95773,5003,It 's no lie --,2,It 's no lie --,1,1,1.8571428571428572
95774,5003,It 's no lie,3,It 's no lie,1,2,1.8571428571428572
95775,5003,'s no lie,2,'s no lie,1,1,1.8571428571428572
95776,5003,no lie,3,no lie,1,2,1.8571428571428572
95777,5003,Big Fat Liar is a real charmer,4,Big Fat Liar is a real charmer,3,1,1.8571428571428572
125991,6768,will never,2,will never,2,0,1.8421052631578947
125990,6768,will never forget,2,will never forget,1,1,1.8421052631578947
125989,6768,you will never forget,3,you will never forget,1,2,1.8421052631578947
125988,6768,a film you will never forget,4,a film you will never forget,1,3,1.8421052631578947
125992,6768,-- that you should never forget,3,-- that you should never forget,1,2,1.8421052631578947
125979,6768,Seldahl and Sven Wollter,2,Seldahl and Sven Wollter,2,0,1.8421052631578947
125986,6768,in a film you will never forget -- that you should never forget,4,in a film you will never forget -- that you should never forget,1,3,1.8421052631578947
125985,6768,the core in a film you will never forget -- that you should never forget,3,the core in a film you will never forget -- that you should never forget,1,2,1.8421052631578947
125984,6768,to the core in a film you will never forget -- that you should never forget,4,to the core in a film you will never forget -- that you should never forget,1,3,1.8421052631578947
125983,6768,touch you to the core in a film you will never forget -- that you should never forget,4,touch you to the core in a film you will never forget -- that you should never forget,1,3,1.8421052631578947
125982,6768,will touch you to the core in a film you will never forget -- that you should never forget,4,will touch you to the core in a film you will never forget -- that you should never forget,1,3,1.8421052631578947
125981,6768,will touch you to the core in a film you will never forget -- that you should never forget .,4,will touch you to the core in a film you will never forget -- that you should never forget .,1,3,1.8421052631578947
125980,6768,and Sven Wollter,2,and Sven Wollter,2,0,1.8421052631578947
125978,6768,Viveka Seldahl and Sven Wollter,2,Viveka Seldahl and Sven Wollter,2,0,1.8421052631578947
125977,6768,Viveka Seldahl and Sven Wollter will touch you to the core in a film you will never forget -- that you should never forget .,4,Viveka Seldahl and Sven Wollter will touch you to the core in a film you will never forget -- that you should never forget .,1,3,1.8421052631578947
125994,6768,you should never forget,2,you should never forget,1,1,1.8421052631578947
125993,6768,that you should never forget,2,that you should never forget,1,1,1.8421052631578947
125987,6768,a film you will never forget -- that you should never forget,4,a film you will never forget -- that you should never forget,1,3,1.8421052631578947
125995,6768,should never forget,3,should never forget,1,2,1.8421052631578947
89070,4630,'s just plain boring .,2,'s just plain boring .,0,2,1.75
122925,6595,is never satisfactory .,1,is never satisfactory .,3,2,1.75
122924,6595,Opera on film,2,Opera on film,2,0,1.75
122923,6595,Opera on film is never satisfactory .,1,Opera on film is never satisfactory .,4,3,1.75
153891,8407,dead production,1,dead production,2,1,1.75
153890,8407,Terminally brain,2,Terminally brain,2,0,1.75
153889,8407,Terminally brain dead production,0,Terminally brain dead production,3,3,1.75
153888,8407,Terminally brain dead production .,0,Terminally brain dead production .,3,3,1.75
89072,4630,plain boring,3,plain boring,0,3,1.75
96996,5070,A high-minded snoozer .,1,A high-minded snoozer .,2,1,1.75
121242,6492,Watching it was painful .,0,Watching it was painful .,2,2,1.75
96997,5070,high-minded snoozer .,0,high-minded snoozer .,2,2,1.75
96998,5070,snoozer .,0,snoozer .,2,2,1.75
89069,4630,It 's just plain boring .,2,It 's just plain boring .,0,2,1.75
89071,4630,'s just plain boring,0,'s just plain boring,0,0,1.75
121241,6492,... Watching it was painful .,1,... Watching it was painful .,2,1,1.75
122926,6595,is never satisfactory,1,is never satisfactory,3,2,1.75
96999,5070,snoozer,0,snoozer,2,2,1.75
121244,6492,was painful,0,was painful,2,2,1.75
121243,6492,Watching it was painful,0,Watching it was painful,2,2,1.75
101023,5306,more perceptive,2,more perceptive,2,0,1.6666666666666667
101024,5306,in Bridget Jones 's Diary,2,in Bridget Jones 's Diary,2,0,1.6666666666666667
20108,892,abandon the theater,1,abandon the theater,2,1,1.6666666666666667
20103,892,leave you wanting to abandon the theater,0,leave you wanting to abandon the theater,1,1,1.6666666666666667
20102,892,will leave you wanting to abandon the theater,1,will leave you wanting to abandon the theater,3,2,1.6666666666666667
20101,892,will leave you wanting to abandon the theater .,0,will leave you wanting to abandon the theater .,3,3,1.6666666666666667
20100,892,'' will leave you wanting to abandon the theater .,0,'' will leave you wanting to abandon the theater .,3,3,1.6666666666666667
20104,892,you wanting to abandon the theater,1,you wanting to abandon the theater,3,2,1.6666666666666667
20099,892,Abandon,1,Abandon,2,1,1.6666666666666667
138325,7488,under-rehearsed and lifeless,0,under-rehearsed and lifeless,2,2,1.6666666666666667
138326,7488,under-rehearsed and,0,under-rehearsed and,2,2,1.6666666666666667
101011,5306,"it makes you forgive every fake , dishonest , entertaining and , ultimately , more perceptive moment in Bridget Jones 's Diary",1,"it makes you forgive every fake , dishonest , entertaining and , ultimately , more perceptive moment in Bridget Jones 's Diary",4,3,1.6666666666666667
101008,5306,'s so tedious,1,'s so tedious,1,0,1.6666666666666667
101005,5306,"It 's so tedious that it makes you forgive every fake , dishonest , entertaining and , ultimately , more perceptive moment in Bridget Jones 's Diary .",1,"It 's so tedious that it makes you forgive every fake , dishonest , entertaining and , ultimately , more perceptive moment in Bridget Jones 's Diary .",4,3,1.6666666666666667
101009,5306,so tedious,1,so tedious,0,1,1.6666666666666667
120193,6427,A technical triumph and an extraordinary,4,A technical triumph and an extraordinary,4,0,1.6666666666666667
20105,892,wanting to abandon the theater,1,wanting to abandon the theater,1,0,1.6666666666666667
101020,5306,"entertaining and , ultimately , more perceptive moment",3,"entertaining and , ultimately , more perceptive moment",4,1,1.6666666666666667
101021,5306,"entertaining and , ultimately , more perceptive",4,"entertaining and , ultimately , more perceptive",4,0,1.6666666666666667
101010,5306,"that it makes you forgive every fake , dishonest , entertaining and , ultimately , more perceptive moment in Bridget Jones 's Diary",3,"that it makes you forgive every fake , dishonest , entertaining and , ultimately , more perceptive moment in Bridget Jones 's Diary",4,1,1.6666666666666667
101022,5306,"entertaining and , ultimately ,",3,"entertaining and , ultimately ,",4,1,1.6666666666666667
132047,7118,less-than-thrilling,0,less-than-thrilling,2,2,1.6666666666666667
101025,5306,Bridget Jones 's Diary,2,Bridget Jones 's Diary,2,0,1.6666666666666667
138327,7488,under-rehearsed,1,under-rehearsed,2,1,1.6666666666666667
120197,6427,an extraordinary,3,an extraordinary,4,1,1.6666666666666667
20106,892,wanting,2,wanting,2,0,1.6666666666666667
20107,892,to abandon the theater,1,to abandon the theater,2,1,1.6666666666666667
120196,6427,technical triumph,4,technical triumph,2,2,1.6666666666666667
120195,6427,A technical triumph,2,A technical triumph,4,2,1.6666666666666667
120194,6427,A technical triumph and,4,A technical triumph and,2,2,1.6666666666666667
101019,5306,", entertaining and , ultimately , more perceptive moment",4,", entertaining and , ultimately , more perceptive moment",4,0,1.6666666666666667
101018,5306,"fake , dishonest",0,"fake , dishonest",1,1,1.6666666666666667
120192,6427,A technical triumph and an extraordinary bore .,1,A technical triumph and an extraordinary bore .,4,3,1.6666666666666667
86040,4452,Brisk hack job,1,Brisk hack job,1,0,1.6666666666666667
86041,4452,Brisk hack,1,Brisk hack,3,2,1.6666666666666667
71071,3625,A half-assed film .,0,A half-assed film .,2,2,1.6666666666666667
101015,5306,"every fake , dishonest , entertaining and , ultimately , more perceptive moment in Bridget Jones 's Diary",1,"every fake , dishonest , entertaining and , ultimately , more perceptive moment in Bridget Jones 's Diary",4,3,1.6666666666666667
101014,5306,"forgive every fake , dishonest , entertaining and , ultimately , more perceptive moment in Bridget Jones 's Diary",2,"forgive every fake , dishonest , entertaining and , ultimately , more perceptive moment in Bridget Jones 's Diary",4,2,1.6666666666666667
101013,5306,"you forgive every fake , dishonest , entertaining and , ultimately , more perceptive moment in Bridget Jones 's Diary",1,"you forgive every fake , dishonest , entertaining and , ultimately , more perceptive moment in Bridget Jones 's Diary",4,3,1.6666666666666667
101012,5306,"makes you forgive every fake , dishonest , entertaining and , ultimately , more perceptive moment in Bridget Jones 's Diary",2,"makes you forgive every fake , dishonest , entertaining and , ultimately , more perceptive moment in Bridget Jones 's Diary",4,2,1.6666666666666667
86039,4452,Brisk hack job .,0,Brisk hack job .,3,3,1.6666666666666667
20097,892,`` Abandon '' will leave you wanting to abandon the theater .,0,`` Abandon '' will leave you wanting to abandon the theater .,3,3,1.6666666666666667
92058,4791,Idiotic and,0,Idiotic and,2,2,1.6666666666666667
114979,6123,What an embarrassment .,0,What an embarrassment .,1,1,1.6666666666666667
114980,6123,an embarrassment .,0,an embarrassment .,3,3,1.6666666666666667
114981,6123,embarrassment .,0,embarrassment .,1,1,1.6666666666666667
92057,4791,Idiotic and ugly,0,Idiotic and ugly,2,2,1.6666666666666667
92056,4791,Idiotic and ugly .,0,Idiotic and ugly .,1,1,1.6666666666666667
101007,5306,"'s so tedious that it makes you forgive every fake , dishonest , entertaining and , ultimately , more perceptive moment in Bridget Jones 's Diary",0,"'s so tedious that it makes you forgive every fake , dishonest , entertaining and , ultimately , more perceptive moment in Bridget Jones 's Diary",4,4,1.6666666666666667
101006,5306,"'s so tedious that it makes you forgive every fake , dishonest , entertaining and , ultimately , more perceptive moment in Bridget Jones 's Diary .",0,"'s so tedious that it makes you forgive every fake , dishonest , entertaining and , ultimately , more perceptive moment in Bridget Jones 's Diary .",4,4,1.6666666666666667
20098,892,Abandon '' will leave you wanting to abandon the theater .,0,Abandon '' will leave you wanting to abandon the theater .,3,3,1.6666666666666667
71072,3625,half-assed film .,0,half-assed film .,2,2,1.6666666666666667
71073,3625,half-assed,1,half-assed,2,1,1.6666666666666667
132045,7118,A less-than-thrilling thriller .,0,A less-than-thrilling thriller .,2,2,1.6666666666666667
132046,7118,less-than-thrilling thriller .,1,less-than-thrilling thriller .,2,1,1.6666666666666667
142555,7739,Cinematic poo .,0,Cinematic poo .,2,2,1.6666666666666667
142556,7739,poo .,0,poo .,2,2,1.6666666666666667
101017,5306,"fake , dishonest , entertaining and , ultimately , more perceptive moment",0,"fake , dishonest , entertaining and , ultimately , more perceptive moment",4,4,1.6666666666666667
101016,5306,"every fake , dishonest , entertaining and , ultimately , more perceptive moment",2,"every fake , dishonest , entertaining and , ultimately , more perceptive moment",4,2,1.6666666666666667
142557,7739,poo,1,poo,2,1,1.6666666666666667
84234,4353,only occasionally satirical and never fresh,0,only occasionally satirical and never fresh,3,3,1.625
84238,4353,never fresh,0,never fresh,3,3,1.625
84232,4353,comes off as only occasionally satirical and never fresh,0,comes off as only occasionally satirical and never fresh,3,3,1.625
84233,4353,as only occasionally satirical and never fresh,1,as only occasionally satirical and never fresh,3,2,1.625
84237,4353,occasionally satirical,3,occasionally satirical,2,1,1.625
84231,4353,comes off as only occasionally satirical and never fresh .,1,comes off as only occasionally satirical and never fresh .,3,2,1.625
84230,4353,it comes off as only occasionally satirical and never fresh .,1,it comes off as only occasionally satirical and never fresh .,3,2,1.625
84225,4353,trying to be daring and original,2,trying to be daring and original,4,2,1.625
84236,4353,only occasionally satirical,2,only occasionally satirical,2,0,1.625
84229,4353,", it comes off as only occasionally satirical and never fresh .",1,", it comes off as only occasionally satirical and never fresh .",3,2,1.625
84228,4353,daring and original,4,daring and original,4,0,1.625
84235,4353,only occasionally satirical and,3,only occasionally satirical and,2,1,1.625
84223,4353,"In trying to be daring and original , it comes off as only occasionally satirical and never fresh .",2,"In trying to be daring and original , it comes off as only occasionally satirical and never fresh .",4,2,1.625
84224,4353,In trying to be daring and original,3,In trying to be daring and original,2,1,1.625
84227,4353,be daring and original,3,be daring and original,4,1,1.625
84226,4353,to be daring and original,3,to be daring and original,4,1,1.625
136741,7394,of Oscar Wilde 's classic satire,3,of Oscar Wilde 's classic satire,2,1,1.6
136743,7394,Oscar Wilde 's,2,Oscar Wilde 's,2,0,1.6
50880,2504,'s a masterpeice .,4,'s a masterpeice .,2,2,1.6
136740,7394,a screen adaptation of Oscar Wilde 's classic satire,2,a screen adaptation of Oscar Wilde 's classic satire,3,1,1.6
136739,7394,foul up a screen adaptation of Oscar Wilde 's classic satire,2,foul up a screen adaptation of Oscar Wilde 's classic satire,3,1,1.6
50879,2504,It 's a masterpeice .,4,It 's a masterpeice .,2,2,1.6
136731,7394,would take a complete moron to foul up a screen adaptation of Oscar Wilde 's classic satire .,2,would take a complete moron to foul up a screen adaptation of Oscar Wilde 's classic satire .,3,1,1.6
136732,7394,would take a complete moron to foul up a screen adaptation of Oscar Wilde 's classic satire,0,would take a complete moron to foul up a screen adaptation of Oscar Wilde 's classic satire,3,3,1.6
136733,7394,take a complete moron to foul up a screen adaptation of Oscar Wilde 's classic satire,1,take a complete moron to foul up a screen adaptation of Oscar Wilde 's classic satire,3,2,1.6
136734,7394,take a complete moron,1,take a complete moron,3,2,1.6
136735,7394,a complete moron,0,a complete moron,3,3,1.6
136742,7394,Oscar Wilde 's classic satire,3,Oscar Wilde 's classic satire,2,1,1.6
136736,7394,complete moron,0,complete moron,1,1,1.6
136744,7394,classic satire,4,classic satire,3,1,1.6
136730,7394,It would take a complete moron to foul up a screen adaptation of Oscar Wilde 's classic satire .,0,It would take a complete moron to foul up a screen adaptation of Oscar Wilde 's classic satire .,3,3,1.6
136738,7394,to foul up a screen adaptation of Oscar Wilde 's classic satire,0,to foul up a screen adaptation of Oscar Wilde 's classic satire,3,3,1.6
136737,7394,moron,1,moron,2,1,1.6
50883,2504,masterpeice,4,masterpeice,2,2,1.6
50881,2504,'s a masterpeice,2,'s a masterpeice,2,0,1.6
50882,2504,a masterpeice,4,a masterpeice,2,2,1.6
35967,1698,"Painful , horrifying and oppressively tragic , this film should not be missed .",4,"Painful , horrifying and oppressively tragic , this film should not be missed .",0,4,1.5714285714285714
35980,1698,missed,2,missed,1,1,1.5714285714285714
77211,3971,It 's not really funny,1,It 's not really funny,3,2,1.5714285714285714
35979,1698,be missed,2,be missed,1,1,1.5714285714285714
35978,1698,should not,1,should not,2,1,1.5714285714285714
42550,2051,'s pretty but dumb .,1,'s pretty but dumb .,3,2,1.5714285714285714
42551,2051,'s pretty but dumb,1,'s pretty but dumb,3,2,1.5714285714285714
42547,2051,"Basically , it 's pretty but dumb .",2,"Basically , it 's pretty but dumb .",0,2,1.5714285714285714
42549,2051,it 's pretty but dumb .,2,it 's pretty but dumb .,0,2,1.5714285714285714
35977,1698,should not be missed,3,should not be missed,1,2,1.5714285714285714
77210,3971,It 's not really funny .,1,It 's not really funny .,3,2,1.5714285714285714
42548,2051,", it 's pretty but dumb .",1,", it 's pretty but dumb .",0,1,1.5714285714285714
77212,3971,'s not really funny,1,'s not really funny,3,2,1.5714285714285714
42552,2051,pretty but dumb,1,pretty but dumb,3,2,1.5714285714285714
77209,3971,: It 's not really funny .,1,: It 's not really funny .,3,2,1.5714285714285714
35973,1698,oppressively,1,oppressively,2,1,1.5714285714285714
35971,1698,horrifying and,2,horrifying and,2,0,1.5714285714285714
35970,1698,horrifying and oppressively tragic,1,horrifying and oppressively tragic,3,2,1.5714285714285714
35976,1698,should not be missed .,4,should not be missed .,1,3,1.5714285714285714
35972,1698,oppressively tragic,2,oppressively tragic,3,1,1.5714285714285714
77206,3971,The problem with all of this : It 's not really funny .,1,The problem with all of this : It 's not really funny .,3,2,1.5714285714285714
77207,3971,The problem with all of this,1,The problem with all of this,1,0,1.5714285714285714
35974,1698,", this film should not be missed .",3,", this film should not be missed .",1,2,1.5714285714285714
35969,1698,", horrifying and oppressively tragic",2,", horrifying and oppressively tragic",2,0,1.5714285714285714
35968,1698,"Painful , horrifying and oppressively tragic",0,"Painful , horrifying and oppressively tragic",1,1,1.5714285714285714
77208,3971,with all of this,3,with all of this,2,1,1.5714285714285714
35975,1698,this film should not be missed .,4,this film should not be missed .,1,3,1.5714285714285714
42553,2051,pretty but,3,pretty but,3,0,1.5714285714285714
129080,6942,it simply lulls you into a gentle waking coma .,1,it simply lulls you into a gentle waking coma .,3,2,1.5625
129083,6942,lulls you into a gentle waking coma,1,lulls you into a gentle waking coma,3,2,1.5625
129078,6942,", but more often",2,", but more often",2,0,1.5625
129088,6942,waking coma,1,waking coma,2,1,1.5625
129077,6942,loud and offensive,2,loud and offensive,1,1,1.5625
129089,6942,coma,0,coma,2,2,1.5625
129087,6942,gentle waking coma,2,gentle waking coma,3,1,1.5625
129074,6942,"Occasionally loud and offensive , but more often , it simply lulls you into a gentle waking coma .",1,"Occasionally loud and offensive , but more often , it simply lulls you into a gentle waking coma .",3,2,1.5625
129075,6942,"Occasionally loud and offensive , but more often",1,"Occasionally loud and offensive , but more often",2,1,1.5625
129079,6942,", it simply lulls you into a gentle waking coma .",0,", it simply lulls you into a gentle waking coma .",3,3,1.5625
129084,6942,lulls you,1,lulls you,2,1,1.5625
129085,6942,into a gentle waking coma,1,into a gentle waking coma,3,2,1.5625
129086,6942,a gentle waking coma,1,a gentle waking coma,3,2,1.5625
129076,6942,"loud and offensive , but more often",1,"loud and offensive , but more often",2,1,1.5625
129082,6942,lulls you into a gentle waking coma .,0,lulls you into a gentle waking coma .,3,3,1.5625
129081,6942,simply lulls you into a gentle waking coma .,2,simply lulls you into a gentle waking coma .,3,1,1.5625
115428,6150,hat-in-hand approach,2,hat-in-hand approach,3,1,1.56
115434,6150,stifles creativity and,1,stifles creativity and,3,2,1.56
115440,6150,to drag on for nearly three hours,1,to drag on for nearly three hours,2,1,1.56
115441,6150,drag on for nearly three hours,1,drag on for nearly three hours,2,1,1.56
115442,6150,drag on,1,drag on,2,1,1.56
115443,6150,for nearly three hours,3,for nearly three hours,2,1,1.56
115437,6150,allows the film to drag on for nearly three hours,0,allows the film to drag on for nearly three hours,1,1,1.56
115436,6150,stifles,2,stifles,2,0,1.56
115435,6150,stifles creativity,1,stifles creativity,3,2,1.56
115427,6150,a hat-in-hand approach,2,a hat-in-hand approach,3,1,1.56
115426,6150,takes a hat-in-hand approach,3,takes a hat-in-hand approach,3,0,1.56
115425,6150,takes a hat-in-hand approach to Rowling that stifles creativity and allows the film to drag on for nearly three hours,0,takes a hat-in-hand approach to Rowling that stifles creativity and allows the film to drag on for nearly three hours,3,3,1.56
115424,6150,takes a hat-in-hand approach to Rowling that stifles creativity and allows the film to drag on for nearly three hours .,0,takes a hat-in-hand approach to Rowling that stifles creativity and allows the film to drag on for nearly three hours .,3,3,1.56
115438,6150,the film to drag on for nearly three hours,0,the film to drag on for nearly three hours,1,1,1.56
